imdb_id	title	type	year	genres	rating	votes
tt8258502	Foe	movie	2023	Drama,Romance,Sci-Fi	5.4	13375
tt0031951	Son of Frankenstein	movie	1939	Drama,Horror,Sci-Fi	7.0	13358
tt0092546	Amazon Women on the Moon	movie	1987	Comedy,Sci-Fi	6.2	13322
tt8332130	Beforeigners	tvSeries	2019	Crime,Drama,Sci-Fi	7.7	13118
tt7026488	Come True	movie	2020	Horror,Sci-Fi	5.9	13072
tt4378456	Second Chance	tvSeries	2016	Drama,Sci-Fi	7.4	13068
tt6290798	UFO	movie	2018	Drama,Mystery,Sci-Fi	6.2	13063
tt20859464	The Artifice Girl	movie	2022	Mystery,Sci-Fi,Thriller	6.6	13050
tt0106156	The Tommyknockers	tvMiniSeries	1993	Horror,Sci-Fi	5.4	13046
tt10623646	Paper Girls	tvSeries	2022	Adventure,Drama,Sci-Fi	7.3	13045
tt2091478	Air	movie	2015	Drama,Sci-Fi,Thriller	5.1	12981
tt0089280	Hobgoblins	movie	1988	Comedy,Horror,Sci-Fi	2.3	12943
tt1918734	2067	movie	2020	Mystery,Sci-Fi	4.9	12860
tt0074559	Futureworld	movie	1976	Sci-Fi,Thriller	5.7	12846
tt2781832	Final Prayer	movie	2013	Horror,Sci-Fi,Thriller	5.8	12827
tt1757746	Extracted	movie	2012	Drama,Sci-Fi	6.4	12799
tt6675244	Transit	movie	2018	Drama,Sci-Fi	6.9	12772
tt6143568	The Humanity Bureau	movie	2017	Action,Sci-Fi,Thriller	4.5	12739
tt0045920	It Came from Outer Space	movie	1953	Horror,Sci-Fi	6.5	12738
tt1643222	Hell	movie	2011	Horror,Sci-Fi,Thriller	5.8	12737
tt8399288	Memoria	movie	2021	Drama,Mystery,Sci-Fi	6.4	12735
tt3839880	Infinity Chamber	movie	2016	Sci-Fi,Thriller	6.2	12720
tt12592252	Songbird	movie	2020	Drama,Sci-Fi,Thriller	4.8	12712
tt0294097	Harvey Birdman, Attorney at Law	tvSeries	2000	Animation,Comedy,Sci-Fi	8.0	12620
tt0062168	Five Million Years to Earth	movie	1967	Horror,Mystery,Sci-Fi	7.0	12565
tt27031263	Teacup	tvSeries	2024	Horror,Sci-Fi,Thriller	6.3	12543
tt9849210	Biohackers	tvSeries	2020	Drama,Sci-Fi,Thriller	6.8	12478
tt0101458	Until the End of the World	movie	1991	Action,Drama,Sci-Fi	6.8	12446
tt15710136	Yashoda	movie	2022	Action,Crime,Sci-Fi	6.5	12443
tt8285216	Better Than Us	tvSeries	2018	Drama,Sci-Fi	7.3	12426
tt0081874	The Hitch Hiker's Guide to the Galaxy	tvSeries	1981	Adventure,Comedy,Sci-Fi	8.0	12370
tt5591666	The Domestics	movie	2018	Action,Horror,Sci-Fi	5.7	12322
tt0080904	Humanoids from the Deep	movie	1980	Horror,Sci-Fi	5.7	12297
tt0099731	The Handmaid's Tale	movie	1990	Drama,Romance,Sci-Fi	6.0	12260
tt0024188	Island of Lost Souls	movie	1932	Horror,Sci-Fi	7.3	12203
tt7851428	First Signal	movie	2021	Drama,Sci-Fi	3.3	12187
tt3832096	Cabin Fever	movie	2016	Horror,Sci-Fi,Thriller	3.8	12175
tt0119809	Nowhere	movie	1997	Comedy,Drama,Sci-Fi	6.6	12141
tt0200469	Bats	movie	1999	Horror,Sci-Fi,Thriller	4.1	12125
tt0103003	Suburban Commando	movie	1991	Action,Comedy,Sci-Fi	4.6	12118
tt8664988	The Blackout	movie	2019	Action,Sci-Fi,Thriller	6.0	12080
tt2011276	Banshee Chapter	movie	2013	Horror,Mystery,Sci-Fi	5.4	12034
tt14407336	The Beast	movie	2023	Drama,Romance,Sci-Fi	6.5	12028
tt12616480	Slingshot	movie	2024	Mystery,Sci-Fi,Thriller	5.7	12024
tt5813366	Bleeding Steel	movie	2017	Action,Sci-Fi,Thriller	5.2	11998
tt5215088	A.I. Rising	movie	2018	Drama,Romance,Sci-Fi	4.9	11931
tt0061065	The Face of Another	movie	1966	Drama,Sci-Fi,Thriller	7.8	11916
tt0091276	Invaders from Mars	movie	1986	Horror,Sci-Fi	5.5	11868
